Ticker,Date,SEC_Event
GOOGL,2024-09-24,1
GOOGL,2024-08-06,1
GOOGL,2024-07-24,1
GOOGL,2024-07-23,1
GOOGL,2024-06-26,1
GOOGL,2024-06-13,1
GOOGL,2024-06-07,1
GOOGL,2024-06-05,1
GOOGL,2024-04-26,1
GOOGL,2024-04-25,1
GOOGL,2024-02-08,1
GOOGL,2024-01-31,1
GOOGL,2024-01-30,1
GOOGL,2023-10-25,1
GOOGL,2023-10-24,1
GOOGL,2023-07-26,1
GOOGL,2023-07-25,1
GOOGL,2023-06-08,1
GOOGL,2023-04-26,1
GOOGL,2023-04-25,1
GOOGL,2023-04-21,1
GOOGL,2023-04-20,1
GOOGL,2023-02-03,1
GOOGL,2023-02-02,1
GOOGL,2023-01-25,1
GOOGL,2023-01-20,1
GOOGL,2022-12-21,1
GOOGL,2022-10-26,1
GOOGL,2022-10-25,1
NVDA,2026-01-23,1
NVDA,2025-11-19,1
NVDA,2025-11-19,1
NVDA,2025-08-27,1
NVDA,2025-08-27,1
NVDA,2025-08-05,1
NVDA,2025-07-01,1
NVDA,2025-05-28,1
NVDA,2025-05-28,1
NVDA,2025-04-15,1
NVDA,2025-03-07,1
NVDA,2025-02-26,1
NVDA,2025-02-26,1
NVDA,2025-01-17,1
NVDA,2024-11-20,1
NVDA,2024-11-20,1
NVDA,2024-11-07,1
NVDA,2024-08-28,1
NVDA,2024-08-28,1
NVDA,2024-07-02,1
NVDA,2024-06-07,1
NVDA,2024-05-29,1
NVDA,2024-05-22,1
NVDA,2024-03-14,1
NVDA,2024-02-21,1
NVDA,2024-02-21,1
NVDA,2023-11-21,1
NVDA,2023-11-21,1
NVDA,2023-10-24,1
NVDA,2023-10-17,1
NVDA,2023-08-28,1
NVDA,2023-08-23,1
NVDA,2023-07-24,1
NVDA,2023-06-27,1
NVDA,2023-05-26,1
NVDA,2023-05-24,1
NVDA,2023-03-08,1
NVDA,2023-02-24,1
NVDA,2023-02-22,1
NVDA,2022-11-18,1
NVDA,2022-11-16,1
NVDA,2022-09-01,1
NVDA,2022-08-31,1
NVDA,2022-08-31,1
NVDA,2022-08-24,1
NVDA,2022-08-08,1
NVDA,2022-06-06,1
NVDA,2022-05-27,1
NVDA,2022-05-25,1
NVDA,2022-03-18,1
NVDA,2022-03-09,1
NVDA,2022-02-16,1
NVDA,2022-02-08,1
NVDA,2021-11-22,1
NVDA,2021-11-17,1
NVDA,2021-08-20,1
NVDA,2021-08-18,1
NVDA,2021-06-28,1
NVDA,2021-06-16,1
NVDA,2021-06-07,1
NVDA,2021-05-26,1
NVDA,2021-05-26,1
NVDA,2021-05-21,1
NVDA,2021-04-12,1
NVDA,2021-03-19,1
NVDA,2021-02-26,1
NVDA,2021-02-24,1
NVDA,2020-11-18,1
NVDA,2020-11-18,1
NVDA,2020-11-09,1
NVDA,2020-09-14,1
NVDA,2020-08-19,1
NVDA,2020-08-19,1
NVDA,2020-07-13,1
NVDA,2020-06-15,1
NVDA,2020-05-21,1
NVDA,2020-05-21,1
NVDA,2020-04-27,1
NVDA,2020-04-17,1
NVDA,2020-03-31,1
NVDA,2020-03-10,1
NVDA,2020-02-20,1
NVDA,2020-02-13,1
META,2026-01-29,1
META,2026-01-28,1
META,2026-01-16,1
META,2025-12-19,1
META,2025-12-12,1
META,2025-11-03,1
META,2025-10-30,1
META,2025-10-29,1
META,2025-07-31,1
META,2025-07-30,1
META,2025-05-30,1
META,2025-05-01,1
META,2025-04-30,1
META,2025-04-11,1
META,2025-02-20,1
META,2025-01-30,1
META,2025-01-29,1
META,2025-01-06,1
META,2024-10-31,1
META,2024-10-30,1
META,2024-09-10,1
META,2024-08-09,1
META,2024-08-01,1
META,2024-07-31,1
META,2024-05-31,1
META,2024-04-25,1
META,2024-04-24,1
