Date,AAPL_News_Volume,AAPL_Sentiment_Tone,MSFT_News_Volume,MSFT_Sentiment_Tone,GOOGL_News_Volume,GOOGL_Sentiment_Tone,NVDA_News_Volume,NVDA_Sentiment_Tone,META_News_Volume,META_Sentiment_Tone
2022-10-03,134,0.7971164597152136,761,-0.30560232207375193,37,-0.6681487656028625,147,0.10424023990433415,4542,-0.8105921037416496
2022-10-04,130,0.24580431178371465,1543,0.968528698457817,67,-0.078765835366645,185,-0.006173163188901364,5282,-0.707636694733619
2022-10-05,112,-0.6514520818483847,868,0.13558614316558196,45,-0.47236671262520247,142,-0.1347383307837158,5128,-0.8653519646917465
2022-10-06,81,-0.06109231311461277,724,0.981921052886978,39,-1.2194724536811234,129,0.6029009306240484,4704,-0.700368807736938
2022-10-07,152,-0.23138432788003777,745,-0.04129922175469125,75,-0.8332869042882286,195,-0.8215324975093193,4941,-0.774162706174629
2022-10-08,66,-0.37017462396621525,305,0.12439092000151222,19,-1.560659262266667,145,-0.7710681692547132,3331,-1.4146441277396202
2022-10-09,32,0.06402654112039938,224,0.7432369587303899,8,-2.3664980490993788,61,-0.24027467760540128,3017,-1.6861498416708396
2022-10-10,60,-1.5760720275420246,565,0.7994525565313723,13,-1.5668595690734497,260,-1.1855250093962766,4197,-1.1730455516402003
2022-10-11,102,-0.16165962418077606,764,0.771194478963649,22,0.4338314931586613,239,0.18322028360716547,5237,-0.7440795672381834
2022-10-12,85,0.34076045896082713,1290,1.0145031027565992,33,0.43863745878826305,248,0.7441834189680786,4910,-0.7294465989079142
2022-10-13,110,0.5469851210868686,1088,0.9228722051063344,50,0.7204516012156034,213,0.8863126397313379,4631,-0.6018144748246563
2022-10-14,38,0.28919167225383546,910,0.814073296103795,18,-1.4909463646520147,196,0.11370767808813864,4408,-0.8755874975590874
2022-10-15,38,0.1277440533139308,364,-0.23937287881085317,2,1.621604682332295,99,0.33603744816700715,3448,-0.8997091580197073
2022-10-16,15,0.38934005504896063,333,0.5332246603001496,5,-0.21287455495205176,58,-0.18728206919746745,2906,-1.4515023676961716
2022-10-17,124,-0.13622179570081766,800,0.4511889860514777,23,0.5605739583252602,121,0.32218631572346035,4275,-0.9422114137946663
2022-10-18,182,0.5154567485473225,1096,0.3565549193316384,38,0.4526492615229218,263,0.9403650539657115,4965,-0.8932525525377677
2022-10-19,113,-0.3091402504202952,866,0.5526195925563772,39,-0.546090385763282,115,1.2877522702106277,4683,-0.8898211798499734
2022-10-20,120,-0.20879756303684133,819,0.8443303534918363,55,-1.1251777183951406,120,0.42253078759045587,4342,-0.3205333840352738
2022-10-21,67,-1.4757728142912965,702,0.4744280358564351,68,-2.718798028041589,100,0.21133492010391658,4425,-0.928928934444422
2022-10-22,22,-1.0365374519574877,260,0.12804008492254712,23,-4.572195885003879,48,-0.2320959209575818,3561,-1.4130416915391888
2022-10-23,18,0.16179624778087737,245,0.4465920241474192,5,-4.4772392713584095,56,0.11175734575923488,2661,-1.2579772656443726
2022-10-24,99,0.03521610407660472,691,0.11786508861683534,53,-0.4820379475070368,117,0.3703715710882466,3909,-0.4650613267718027
2022-10-25,103,0.08193968516626075,1092,0.8045868089876116,106,-1.2113186380892067,124,0.6909747497928213,5271,-0.8791087035994922
2022-10-26,80,-1.137253324354682,1623,-0.3502319072913688,169,-1.9095970249179262,115,-0.10557927621695413,4638,-0.7985698501810615
2022-10-27,110,-0.803740039028911,1405,-0.23533045800277547,117,-1.7047863992362655,126,0.4166677886150697,5638,-0.8720215963016732
2022-10-28,167,-0.5899027296487924,1404,-0.5124822609836058,123,-0.4649472929835063,111,0.5266708684858694,5840,-1.1109526528392857
2022-10-29,42,-0.01628322958412809,395,-0.12521899217027493,22,-1.5552574210198296,34,-0.3148826460039619,3092,-1.259295170399441
2022-10-30,79,-2.9865987529541327,276,0.23963132414053678,4,-0.2226791105514948,31,-0.5255677729805593,2573,-1.7568954753547432
2022-10-31,243,-1.8242531571549097,717,-0.19273237053103284,72,-0.8026661357459219,108,0.10101836218252105,4183,-1.2527583184680606
2022-11-01,227,-2.2670503229335526,745,0.21865604996232596,38,-0.534831616337166,80,0.031129046271754064,4941,-0.6792241892951617
2022-11-02,143,-2.8720237013947303,728,0.4935072369682568,34,-0.40234190504713063,98,0.6809191746736576,4889,-0.9853201876565024
2022-11-03,97,-0.6469819353185087,901,0.6594454988952465,43,-1.0954915089565853,107,0.6743112658583874,5006,-0.4953056805532638
2022-11-04,93,-2.1127928142415606,969,-0.38267897238856724,33,-0.5092208633912876,126,0.40925458640327195,4575,-0.6378746728667478
2022-11-05,15,-1.9994035432331387,385,0.48086634205458895,7,-1.9227514373000694,48,0.3358681957461061,2949,-1.5482839861974262
2022-11-06,15,-1.305828336025478,425,1.6299150300346827,4,0.004046083894764213,36,0.9905550658295035,2746,-1.369404547175857
2022-11-07,376,-2.6054169527974014,744,0.5996266810683605,31,-1.646897401566989,112,0.6008066241834641,4858,-1.013328424948663
2022-11-08,106,-0.9201667756586295,1065,-0.3914174712715889,37,0.39636192754304067,184,0.33414853056384963,5020,-0.778126157195547
2022-11-09,105,-2.1594935539637636,1117,-0.32391550783448253,26,-0.597694217861574,152,0.7149182995639632,6303,-1.2902616547186905
2022-11-10,100,-1.8066345776466275,1158,0.5739777269358713,32,-1.087164628034063,206,1.6291193942017155,4958,-0.7097108269351236
2022-11-11,11,-1.900470182288112,197,0.8472044092505966,2,-2.495662232504335,25,0.27567884363445727,1037,-0.3070014699198191
2022-11-12,115,-3.9654360712955223,380,0.3488594847572358,21,-1.2566866439641795,59,0.11297149109474187,3476,-1.234174838924476
2022-11-13,16,-0.7450014545510808,261,0.08450356223368878,47,-1.2899465089124993,51,0.5873272861146054,3198,-1.8357564936517694
2022-11-14,36,-0.3152948008127125,719,0.20161386538550907,96,-2.192138672911914,152,1.1082454881364319,4132,-0.7203424938289025
2022-11-15,90,-1.4123616515727917,973,0.0166532796211889,81,-1.873179693679365,213,1.1147087625054621,5321,-0.6271553091842115
2022-11-16,78,-0.2108831816792901,849,0.4700509946637155,56,-1.3168780525449924,317,-0.0047004966050807895,4949,-0.7205079739118555
2022-11-17,177,-1.7213311925181194,899,0.8091742195566645,41,-0.5493294179615652,276,0.05599539073109849,5032,-0.4097909962831259
2022-11-18,43,-0.31608813803691294,637,0.682328053590354,33,-0.06373139818739323,148,0.3466013894790756,4689,-0.4976694018787518
2022-11-19,78,-2.679902014865023,300,0.4083578336899766,25,-1.7966069517476775,67,0.03118738507020992,2841,-0.9062783585321146
2022-11-20,12,-0.5680329244466351,307,-0.7355148848312955,1,-1.52594099694812,39,0.12303691474824657,4014,-3.1215445074234385
2022-11-21,52,0.5874562066872563,580,0.8516436352509893,34,-0.9735718287737892,109,0.715939013566782,5067,-1.6497508077367242
